Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-11-09 19:47 (PST),On Demand,Aditi Shah,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-09-10 07:00 (PST),,,,,,,,68.91,,
2021-11-10 16:40 (-08),Live,Alex Toussaint,20,Cycling,Music,20 min New Tracks Ride,2021-11-08 15:57 (-08),241,201,49%,84,21.02,7.01,344,,,
2021-11-11 16:11 (PST),On Demand,Rad Lopez,10,Cardio,HIIT,10 min HIIT Cardio,2021-11-03 06:12 (PST),,,,,,,121,133.04,,
2021-11-12 19:48 (PST),On Demand,Cody Rigsby,5,Meditation,Relax & Sleep,5 min Calming Meditation,2021-11-05 07:00 (PST),,,,,,,,64.71,,
2021-11-12 19:51 (PST),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-11-06 08:38 (PST),,,,,,,,67.18,,
2021-11-13 10:17 (-08),On Demand,Bradley Rose,20,Cycling,Music,20 min Metal Ride,2021-11-12 10:52 (-08),246,205,48%,88,21.07,7.02,352,,,
2021-11-13 19:55 (PST),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-09-20 07:00 (PST),,,,,,,,57.11,,
2021-11-14 19:34 (PST),On Demand,Chelsea Jackson Roberts,5,Meditation,Relax & Sleep,5 min Mid-Night Meditation,2021-08-31 07:00 (PST),,,,,,,,64.66,,
2021-11-15 16:00 (-08),Live,Bradley Rose,30,Cycling,Intervals,30 min Intervals & Arms Ride,2021-11-15 11:54 (-08),314,174,50%,74,19.75,9.88,448,,,
2021-11-15 19:55 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-08-25 07:00 (PST),,,,,,,,70.13,,
2021-11-16 15:20 (PST),On Demand,Rad Lopez,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2021-11-14 05:53 (PST),,,,,,,69,,,
2021-11-16 15:40 (-08),Live,Leanne Hainsby,20,Cycling,Intervals,20 min HIIT Ride,2021-11-16 05:55 (-08),244,203,49%,84,21.02,7.01,348,,,
2021-11-16 19:49 (PST),On Demand,Kristin McGee,5,Meditation,Relax & Sleep,5 min Calming Meditation,2021-08-05 07:00 (PST),,,,,,,,69.23,,
2021-11-19 15:38 (PST),On Demand,Sam Yo,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-11-15 06:32 (PST),,,,,,,71,111.70,,
2021-11-19 15:55 (-08),Live,Emma Lovewell,20,Cycling,Groove,20 min Groove Ride,2021-11-18 06:55 (-08),233,194,54%,75,20.94,6.98,333,,,
